State,Expansion Date
Alabama,not implemented
Alaska,9/1/15
Arizona,1/1/14
Arkansas,1/1/14
California,"Early expansion: 11/1/2010,  1/1/2014*"
Colorado,1/1/14
Connecticut,"Early expansion: 4/1/2010, 1/1/2014*"
Delaware,1/1/14
District of Columbia,1/1/14
Florida,not implemented
Georgia,not implemented
Hawaii,1/1/14
Idaho,1/1/20
Illinois,1/1/14
Indiana,2/1/15
Iowa,1/1/14
Kansas,not implemented
Kentucky,1/1/14
Louisiana,7/1/16
Maine,1/10/19
Maryland,1/1/14
Massachusetts,1/1/14
Michigan,4/1/14
Minnesota,"Early expansion: 03/1/2010, 1/1/2014*"
Mississippi,not implemented
Missouri,not implemented; planned for 7/1/2021
Montana,1/1/16
Nebraska,10/1/20
Nevada,1/1/14
New Hampshire,8/15/14
New Jersey,"Early expansion: 04/14/2011, 1/1/2014*"
New Mexico,1/1/14
New York,1/1/14
North Carolina,not implemented
North Dakota,1/1/14
Ohio,1/1/14
Oklahoma,not implemented; planned for 7/1/2021
Oregon,1/1/14
Pennsylvania,1/1/15
Rhode Island,1/1/14
South Carolina,not implemented
South Dakota,not implemented
Tennessee,not implemented
Texas,not implemented
Utah,1/1/20
Vermont,1/1/14
Virginia,1/1/19
Washington,"Early expansion: 1/3/2011, 1/1/2014*"
West Virginia,1/1/14
Wisconsin,not implemented
Wyoming,not implemented